bairro;total_transactions;avg_value;median_value;std_value;avg_area;avg_value_per_m2;financed_properties;with_coordinates
Boa Viagem;9098;798127.93;444457.95;1921017.9;158.87;4692.29;1781;7769
Varzea;1935;316550.47;255000.0;454493.87;97.3;3467.37;1293;709
Imbiribeira;1618;849097.56;342000.0;3443564.79;221.15;3730.32;728;1037
Pina;1607;911916.26;430000.0;2440890.28;139.01;5289.26;139;1095
Casa Amarela;1365;490891.32;414330.3;373446.48;130.22;3850.7;443;935
Madalena;1298;926256.41;420484.56;7117422.42;211.87;3985.15;472;708
Gracas;1224;704662.35;460000.0;3105457.75;168.75;3862.4;308;1022
Boa Vista;1146;570130.67;280000.0;2217500.11;180.47;3835.15;234;914
Encruzilhada;971;532054.68;393000.0;640578.19;142.96;3811.4;320;783
Torre;965;509775.78;391316.05;382880.52;123.48;4007.23;335;702
Iputinga;724;419498.1;265999.09;1390650.75;139.5;3125.78;280;424
Espinheiro;720;632269.03;423128.94;1294589.84;173.6;3795.12;201;683
Cordeiro;692;318443.3;275000.0;210813.45;111.91;2943.96;237;613
Guabiraba;639;198978.01;190000.0;146844.32;55.44;4654.95;545;2
Tamarineira;638;628689.92;450000.0;1697236.95;168.16;3937.44;188;405
Passarinho;612;201625.95;200000.0;4849.03;71.26;2829.68;612;0
Campo Grande;600;412530.37;350000.0;294423.61;121.57;3497.16;340;292
Dois Unidos;557;214207.57;211442.68;54220.65;65.11;3391.82;553;0
Parnamirim;536;1046332.08;607518.74;1824677.16;222.9;4844.97;100;360
Santo Amaro;502;833746.35;400000.0;4050669.11;242.06;3741.09;80;280
Jardim Sao Paulo;466;754129.79;305500.0;5921601.21;186.6;3420.58;237;128
Caxanga;439;508150.64;329000.0;1187725.75;106.59;6831.61;262;209
Rosarinho;438;666446.6;550000.0;572154.06;145.22;4395.56;165;350
Sao Jose;421;1387789.71;523956.85;1428049.08;219.53;6188.75;1;106
Ilha Do Retiro;339;849879.63;636000.0;427096.35;195.63;4390.28;86;46
Ilha Do Leite;331;423641.82;250000.0;607568.23;109.82;3843.56;16;331
Aflitos;278;573178.03;440000.0;463678.06;154.86;3660.41;75;270
Casa Forte;274;968260.29;804413.1;698160.83;200.51;5000.26;66;224
Monteiro;247;1247031.14;1250000.0;734042.38;295.06;4406.73;48;135
Ipsep;245;332436.57;240000.0;235901.2;131.27;2641.52;10;239
Poco;241;1086130.98;1100000.0;993394.27;217.62;4848.44;67;157
Areias;240;284750.76;180000.0;674233.37;111.38;2238.76;34;232
Barro;209;322899.14;290000.0;178496.31;114.29;3260.85;134;150
Afogados;190;1314199.52;284927.05;4416669.47;525.2;2644.45;21;176
San Martin;186;604089.08;315000.0;3931289.75;108.11;3498.07;49;178
Santo Antonio;184;555674.11;63500.0;1415876.94;198.45;1995.53;0;184
Soledade;179;369901.66;250000.0;958780.69;151.48;3557.42;45;78
Tejipio;177;270485.68;200000.0;515896.4;99.6;2642.94;45;65
Paissandu;168;451193.77;245519.09;1090122.47;118.58;3241.34;7;93
Torreao;160;397489.69;367200.0;230000.5;100.19;4071.45;110;86
Ibura;157;538817.08;125000.0;1350967.92;186.32;2588.86;6;55
Prado;153;778115.44;340000.0;3020866.47;252.42;2851.2;48;134
Santana;144;2158737.33;787074.78;13173247.4;356.05;5338.9;25;144
Arruda;124;280708.07;195000.0;386809.9;106.44;2722.52;21;37
Agua Fria;124;372260.01;284500.0;370458.84;113.29;3543.82;37;30
Zumbi;113;416058.48;455687.82;262537.16;105.29;3882.85;75;40
Engenho Do Meio;97;361252.27;270000.0;427076.32;126.7;3124.89;22;93
Jaqueira;88;1245431.74;825000.0;930334.35;265.74;4734.36;11;80
Graças;80;1419493.64;445000.0;7776544.84;377.37;3348.39;11;75
Curado;73;176525.64;140000.0;103829.16;62.37;2845.93;12;2
Hipodromo;72;440278.37;406830.0;240219.29;138.65;3759.22;31;30
Derby;72;513589.84;443000.0;393823.44;211.24;2756.8;15;71
Coelhos;72;343572.42;150000.0;533668.65;93.76;2979.32;0;72
Vasco Da Gama;71;313825.36;170000.0;902747.44;97.84;3358.13;9;29
Macaxeira;63;439109.38;290000.0;551407.96;129.87;3262.54;18;54
Cohab;60;146290.46;122500.0;86221.49;63.71;2917.88;3;2
Porto Da Madeira;58;199233.4;180000.0;231129.5;86.26;2459.84;4;42
Campina Do Barreto;56;386682.16;260000.0;969010.58;144.59;3308.25;23;0
Fundao;54;377938.18;235000.0;433457.34;94.11;5101.15;16;12
Bongi;51;298459.55;270000.0;160630.59;95.94;3469.47;15;40
Torroes;39;443319.83;357979.5;390417.52;161.19;3262.88;12;36
Recife;38;3796486.33;742477.92;5918972.48;2215.91;5073.06;0;37
Cajueiro;36;378615.91;345000.0;330775.18;141.87;2918.93;4;35
Ponto De Parada;35;512264.78;365000.0;331165.91;172.7;3244.78;14;13
Mangabeira;34;208959.26;160000.0;146810.36;87.89;2552.53;2;0
Estancia;28;1329637.25;245541.16;3698258.74;480.32;2249.29;2;25
Linha Do Tiro;25;83206.31;90000.0;71868.79;55.75;1396.6;4;0
Jordao;23;360033.71;240000.0;520238.8;115.09;4389.93;1;20
Várzea;23;291207.9;249000.0;118214.11;76.25;3895.96;15;5
Apipucos;19;3708687.5;1500000.0;7796761.5;1083.8;4554.3;1;16
Alto Jose Do Pinho;18;1298175.33;295000.0;2609559.1;180.57;5085.93;2;0
Sancho;18;217870.81;188500.0;178749.46;75.27;2808.25;7;18
Nova Descoberta;15;209133.61;95000.0;281596.88;63.87;2853.27;0;3
São José;15;413255.35;342891.43;198470.11;59.55;8267.09;0;2
Cabanga;13;288114.71;236742.98;165020.76;128.73;2555.9;0;11
Jiquia;9;968439.96;295000.0;1492538.02;358.8;2838.09;1;8
Alto Do Mandu;9;298111.11;180000.0;187161.99;135.82;2594.88;2;9
Mustardinha;9;364280.86;280000.0;251067.98;195.24;2203.21;1;6
Mangueira;7;244336.21;250000.0;121418.76;111.47;2124.78;0;5
Coqueiral;7;212270.31;245024.5;75603.67;102.13;2324.3;0;0
Bomba Do Hemeterio;6;1209780.67;1000000.0;1082202.67;224.86;7243.72;0;0
Alto Jose Bonifacio;5;135518.6;160000.0;88325.07;60.76;3281.16;0;0
Sitio Dos Pintos;5;879000.0;865000.0;310612.3;187.6;4960.23;3;1
Santo Antônio;5;461470.13;75000.0;590402.75;122.77;3607.28;1;5
Beberibe;5;453696.0;275000.0;496083.06;133.17;3406.52;0;0
Morro Da Conceicao;5;109400.0;124000.0;45119.84;40.4;2643.4;0;0
Dois Irmaos;3;5210910.67;5161866.0;84947.85;385.52;40474.12;0;2
Brejo De Beberibe;3;173333.33;100000.0;127017.06;71.08;3076.96;0;0
Água Fria;3;365000.0;375000.0;40926.76;91.2;3998.64;3;0
Torreão;3;475699.87;494899.61;100288.0;99.97;4769.83;3;0
Corrego Do Jenipapo;2;294000.0;294000.0;217788.89;35.0;7933.33;0;0
Cohab   Ibura;2;142500.0;142500.0;111015.76;51.91;2518.56;1;0
Alto José Do Pinho;2;555000.0;555000.0;205060.97;68.0;8108.97;0;0
Brejo Da Guabiraba;2;2538500.0;2538500.0;3278854.14;261.5;7009.6;0;0
Jardim São Paulo;2;165000.0;165000.0;7071.07;77.16;2138.41;0;2
Hipódromo;1;240000.0;240000.0;;91.0;2637.36;0;1
Poço;1;1895000.0;1895000.0;;337.5;5614.81;0;1
Toto;1;340000.0;340000.0;;69.75;4874.55;0;0
