tipo_imovel;year;total_transactions;avg_value;median_value;avg_area;avg_value_per_m2;avg_age
Apartamento;2023;9837;543170.35;369000.0;128.44;3881.07;17.71
Apartamento;2024;12523;553783.25;353716.16;123.61;4035.21;16.05
Apartamento;2025;5782;518655.38;350000.0;115.37;4307.35;15.58
Casa;2023;1133;755728.28;447468.0;203.64;4159.34;48.34
Casa;2024;1254;812725.24;480000.0;199.28;4419.32;48.52
Casa;2025;521;740220.07;450000.0;196.11;5395.77;47.37
Centro Comercial/Serviços;2023;34;961996.6;297500.0;201.08;3538.0;7.76
Centro Comercial/Serviços;2024;52;1913888.48;312830.64;477.96;3875.65;9.42
Centro Comercial/Serviços;2025;38;391877.4;379723.7;101.06;3880.16;9.37
Edificação Especial;2023;96;6042908.47;3000600.5;1833.14;5702.66;40.3
Edificação Especial;2024;95;12347293.02;2080000.0;2489.27;5359.12;40.84
Edificação Especial;2025;57;5913514.14;1500000.0;1309.71;4772.32;36.63
Galpão;2023;99;3727632.29;1461000.0;1177.86;3748.91;37.4
Galpão;2024;100;1944358.19;940415.0;844.95;3074.67;36.37
Galpão;2025;19;3061344.85;1628168.75;997.22;6507.41;35.47
Galpão Fechado;2023;3;2795444.83;2410334.5;618.49;3943.22;26.33
Garagem Comercial;2023;26;631869.9;70701.03;80.96;4269.97;23.92
Garagem Comercial;2024;11;22727.27;20000.0;26.83;861.49;44.09
Garagem Comercial;2025;7;21857.14;20000.0;27.46;792.26;49.29
Garagem Residencial;2023;16;46523.88;45202.43;15.36;3266.14;15.5
Garagem Residencial;2024;11;57745.68;50000.0;12.46;4649.03;6.0
Garagem Residencial;2025;4;42500.0;42500.0;13.94;3112.97;10.0
Hospital;2023;9;2698910.23;1378134.75;934.47;3082.77;45.67
Hospital;2024;4;10774525.0;2150000.0;3596.82;2737.58;45.5
Hospital;2025;4;3055751.88;2403620.75;889.0;3795.83;52.75
Hotel;2023;19;4478360.03;280000.0;865.48;3564.53;28.11
Hotel;2024;20;4749186.08;2009469.0;1565.97;2943.83;34.45
Hotel;2025;15;570550.83;310000.0;165.8;3156.94;29.73
Industria;2023;11;8762747.21;4678202.0;3169.62;3683.15;48.91
Industria;2024;6;8332673.25;1905041.38;3315.77;3574.54;65.0
Industria;2025;5;4070679.01;2455000.0;1111.0;4800.85;47.0
Instituição Educacional;2023;8;5782754.88;1902712.5;1930.59;4397.07;30.25
Instituição Educacional;2024;6;13075743.0;7017425.0;3857.72;3057.86;37.83
Instituição Financeira;2023;16;3452410.64;2947500.0;951.92;4943.07;44.38
Instituição Financeira;2024;10;7516128.4;7143000.0;2353.9;3830.32;36.6
Instituição Financeira;2025;12;2731828.5;313000.0;725.37;3696.3;60.92
Loja;2023;287;2372249.81;350000.0;571.76;4641.17;45.99
Loja;2024;282;1393091.39;384615.38;350.74;5454.5;45.17
Loja;2025;99;1328095.55;360000.0;291.03;5322.71;49.33
Mocambo;2023;6;85432.17;77500.0;31.07;3083.74;45.0
Mocambo;2024;4;115046.6;62093.21;31.75;3414.85;44.75
Mocambo;2025;2;176950.11;176950.11;33.5;7770.38;47.0
Posto de Abastecimento;2023;7;7372124.54;5000000.0;650.34;9869.02;26.0
Posto de Abastecimento;2024;2;6619000.0;6619000.0;564.91;11716.91;21.0
Sala;2023;1060;349511.18;240000.0;96.04;3866.86;19.08
Sala;2024;857;404158.64;222689.36;94.18;3648.86;21.08
Sala;2025;641;475249.03;390000.0;94.23;4705.68;16.34
Templo religioso;2023;2;453719.32;453719.32;231.75;1957.8;10.0
Templo religioso;2024;3;6083464.0;9060196.0;3966.61;1205.88;37.67
Terreno em cond residencial;2024;2;350000.0;350000.0;17.98;19466.07;8.0
